,amenity,geometry,addr:postcode,building,name,website,nodes,official_name,source,source_ref,created_by,building:levels,building:levels:underground,fee,parking,leisure,addr:housenumber,addr:street,addr:city,addr:state,addr:street_direction_prefix,layer,opening_hours,addr:housename,ways,type,wikidata,Osm Centroid Coords,Map Name,Single Line Building Name,Building String,OSM Raw Data Name,Building Number,Caltech Building List Name,Substation,Caltech Campus Map,New Building Name,Notes
39,,"POLYGON ((-118.127082 34.136539, -118.1270622 34.1365409, -118.1268978 34.1365412, -118.1268932 34.1361977, -118.1270876 34.136201, -118.127082 34.136539))",,yes,Linde + Robinson Environmental,,"[566600989, 566600997, 566600991, 566600993, 566600994, 566600989]",,,,,,,,,,,,,,,,,,,,,"34.136368600991744,-118.12698995610666",Linde + Robinson Environmental,Linde + Robinson,lindeRobinson,Linde + Robinson,24,LINDE+ROBINSON LABORATORY,Substation 1,,Ronald and Maxine Linde Laboratry for Global and Environemental Science,
40,,"POLYGON ((-118.1276069 34.1367045, -118.1270597 34.1367055, -118.1270622 34.1365409, -118.127082 34.136539, -118.1274641 34.1365459, -118.1275966 34.136541, -118.1276055 34.1365411, -118.1276069 34.1367045))",,yes,North Mudd,,"[566600995, 566600996, 566600997, 566600989, 571720492, 571720491, 7876905193, 566600995]",,,,,,,,,,,,,,,,,,,,,"34.13662387433993,-118.12733202368575",North Mudd,North Mudd,northMudd,North Mudd,23,"MUDD LABORATORY, NORTH",Substation 1,,,
41,,"POLYGON ((-118.124044 34.1366001, -118.1237771 34.1366001, -118.1237731 34.1361072, -118.124044 34.1361028, -118.124044 34.136236, -118.124044 34.1366001))",,yes,Synchrotron,,"[566601002, 566601003, 566601004, 571720331, 566601077, 566601002]",,,,,,,,,,,,,,,,,,,,,"34.136351931941114,-118.12390974516707",Synchrotron,Synchrotron,synchrotron,Synchrotron,49,SYNCHROTRON,Substation 1,,,
42,,"POLYGON ((-118.1240816 34.1366734, -118.1240816 34.1367133, -118.1236846 34.1367111, -118.1236819 34.1366001, -118.1237771 34.1366001, -118.124044 34.1366001, -118.1241955 34.1366034, -118.1241996 34.1366767, -118.1240816 34.1366734))",,yes,Firestone,,"[571720326, 571720327, 566601011, 571720328, 566601003, 566601002, 571720329, 571720330, 571720326]",,,,,,,,,,,,,,,,,,,,,"34.136653356816204,-118.12392384915535",Firestone,Firestone Laboratory,firestone ,Firestone,50,FIRESTONE LABORATORY,Substation 1,,,
43,,"POLYGON ((-118.125487 34.1365513, -118.1252725 34.1365479, -118.1252698 34.1363992, -118.1252658 34.1361994, -118.125487 34.1361994, -118.125487 34.1365513))",,yes,Linde Hall Mathematics,,"[566601016, 566601020, 571720325, 566601021, 566601022, 566601016]",,,,,3,,,,,,,,,,,,,,,,"34.13637359632721,-118.12537828485613",Linde Hall Mathematics,Linde Hall,lindeHall,Sloan,37,LINDE HALL,Substation 1,,,
44,,"POLYGON ((-118.1252725 34.1365479, -118.1250209 34.1365465, -118.1250225 34.1364028, -118.1252698 34.1363992, -118.1252725 34.1365479))",,yes,Kellogg,,"[566601020, 571720347, 566601025, 571720325, 566601020]",,,,,,,,,,,,,,,,,,,,,"34.13647430594639,-118.12514713939764",Kellogg,Kellogg,kellogg,Kellogg,38,KELLOGG LABORATORY,Substation 1,,,
45,,"POLYGON ((-118.1254846 34.1375459, -118.1253229 34.1375455, -118.1253234 34.1372846, -118.1250175 34.1372859, -118.1250159 34.1371886, -118.125492 34.1371903, -118.1254846 34.1375459))",,yes,Dabney Hall,,"[566601034, 566601035, 566601036, 571718842, 571718845, 566601040, 566601034]",,,,,,,,,,,,,,,,,,,,,"34.13732335641794,-118.12532677854328",Dabney Hall,Dabney Hall,dabneyHall,Dabney Hall,40,DABNEY HALL,Substation 1,,,
46,,"POLYGON ((-118.1248956 34.13671, -118.1241982 34.1367089, -118.1241996 34.1366767, -118.1241955 34.1366034, -118.1241969 34.136569, -118.1242318 34.1365712, -118.1242304 34.1364669, -118.124453 34.1364691, -118.124453 34.1364247, -118.1245174 34.1364269, -118.1245174 34.1365457, -118.1247146 34.136549, -118.1247159 34.1365724, -118.1247856 34.1365735, -118.1248956 34.1365724, -118.1248956 34.13671))",,yes,Guggenheim Laboratory,,"[566601042, 566601043, 571720330, 571720329, 571720341, 571720342, 566601045, 566601046, 571720343, 571720344, 566601047, 571720345, 571720346, 571720338, 566601048, 566601042]",,,,,,,,,,,,,,,,,,,,,"34.136606816817405,-118.124509043504",Guggenheim Laboratory,Guggenheim Laboratory,guggenheim ,Guggenheim,45,GUGGENHEIM LABORATORY,Substation 1,,,
47,,"POLYGON ((-118.1248956 34.1365724, -118.1247856 34.1365735, -118.1247883 34.1364813, -118.1247682 34.1364813, -118.1247669 34.1364625, -118.1246086 34.1364636, -118.1246086 34.136377, -118.1248916 34.1363759, -118.1248956 34.1365724))",,yes,Karman,,"[566601048, 571720338, 566601053, 571720339, 571720340, 566601055, 566601056, 566601057, 566601048]",,,,,,,,,,,,,,,,,,,,,"34.13645198519195,-118.124779904931",Karman,Karman,karman,Karman,46,KARMAN LABORATORY,Substation 1,,,
48,,"POLYGON ((-118.124842 34.1362382, -118.1247528 34.1362366, -118.1247508 34.1362738, -118.1245281 34.1362738, -118.1245194 34.1360989, -118.1245176 34.1360759, -118.1247581 34.1360767, -118.1247581 34.1360978, -118.1248373 34.1360967, -118.124842 34.1362382))",,yes,Downs,,"[566601059, 571720333, 571720334, 566601061, 571720335, 566601063, 571720336, 571720337, 566601066, 566601059]",,,,,,,,,,,,,,,,,,,,,"34.136172758059956,-118.12467151618569",Downs,Downs Lauritsen,downsLauritsen,Downs,47,DOWNS-LAURITSEN LABORATORY,Substation 1,,,
49,,"POLYGON ((-118.1242183 34.1362749, -118.124217 34.1362349, -118.124044 34.136236, -118.124044 34.1361028, -118.124046 34.13609, -118.1241359 34.1360912, -118.1241345 34.1360734, -118.124451 34.1360756, -118.124451 34.1360978, -118.1245194 34.1360989, -118.1245281 34.1362738, -118.1242183 34.1362749))",,yes,Lauritsen,,"[571720350, 571720351, 566601077, 571720331, 566601080, 571720352, 571720353, 571720354, 571720355, 571720335, 566601061, 571720350]",,,,,,,,,,,,,,,,,,,,,"34.136171716308326,-118.12429479672676",Lauritsen,Downs Lauritsen,downsLauritsen,Lauritsen,47,DOWNS-LAURITSEN LABORATORY,Substation 1,,,
50,,"POLYGON ((-118.1262663 34.1369737, -118.1260107 34.1369728, -118.1260107 34.1369421, -118.1260107 34.1369061, -118.1259825 34.1369063, -118.1259825 34.1368878, -118.1259562 34.1368878, -118.1259561 34.1369018, -118.1259107 34.1369383, -118.1258465 34.1369376, -118.1258009 34.1368996, -118.1258009 34.1368458, -118.125845 34.1368083, -118.125911 34.1368079, -118.1259574 34.1368464, -118.1259578 34.1368552, -118.1259781 34.1368552, -118.1259782 34.1368364, -118.1260107 34.1368365, -118.126011 34.1368044, -118.1260107 34.1367742, -118.1262663 34.1367729, -118.1262661 34.1368417, -118.1262758 34.1368418, -118.1262758 34.1368337, -118.1263143 34.1368335, -118.1263103 34.1368538, -118.1263095 34.1368749, -118.1263112 34.1368951, -118.1263152 34.1369153, -118.1262752 34.136915, -118.1262751 34.1369056, -118.1262657 34.1369055, -118.1262663 34.1369737))",,yes,Millikan Library,,"[566601093, 566601097, 571720681, 566601101, 3704238343, 3704238344, 3704238345, 566601103, 566601105, 571720390, 566601109, 566601113, 566601118, 571720391, 566601121, 571720392, 3704238346, 566601126, 3704238347, 571720682, 566601129, 571720393, 571720394, 6911382260, 6911382259, 571720395, 6911382263, 571720396, 6911382264, 571720397, 6911382261, 6911382262, 566601133, 566601093]",,,,,9,,,,,,,,,,,,,,,,"34.13687323604246,-118.12608112943421",Millikan Library,Millikan,millikan,Millikan Library,32,MILLIKAN LIBRARY,Substation 1,,Caltech Hall,
51,,"POLYGON ((-118.1248882 34.1371535, -118.1247139 34.1371535, -118.1241962 34.1371479, -118.1241976 34.1370114, -118.1248909 34.1370136, -118.1248882 34.1371535))",,yes,Gates-Thomas,,"[566601161, 571718802, 566601183, 566601203, 566601253, 566601161]",,,,,,,,,,,,,,,,,,,,,"34.13708194251912,-118.12454492617178",Gates-Thomas,Gates-Thomas,gatesThomas,Thomas,44,GATES-THOMAS LABORATORY,Substation 1,,,
52,,"POLYGON ((-118.1248869 34.1376874, -118.1241922 34.1376874, -118.1241922 34.1375264, -118.1247139 34.1375298, -118.1247166 34.1375431, -118.1248855 34.1375431, -118.1248869 34.1376874))",,yes,Eudora Spalding,,"[566601306, 566601307, 566601309, 571718797, 3704238353, 566601311, 566601306]",,,,,,,,,,,,,,,,,,,,,"34.13760948546956,-118.12453227219675",Eudora Spalding,Eudora Spalding,eudoraSpalding,Spalding,41,SPALDING LAB,Substation 1,,,
53,library,"POLYGON ((-118.1247139 34.1375298, -118.1247139 34.1371535, -118.1248882 34.1371535, -118.1248842 34.13731, -118.1248534 34.13731, -118.1248534 34.1373877, -118.1248855 34.1373877, -118.1248855 34.1375431, -118.1247166 34.1375431, -118.1247139 34.1375298))",,yes,Sherman Fairchild Library,,"[571718797, 571718802, 566601161, 571719133, 571719134, 571719135, 571719136, 566601311, 3704238353, 571718797]",,,,,,,,,,,,,,,,,,,,,"34.137347900917725,-118.1247971725388",Sherman Fairchild Library,Sherman Fairchild Library,fairchildLibrary,Fairchild Library,43,SHERMAN FAIRCHILD LIBRARY,Substation 1,,,
54,parking,"POLYGON ((-118.1226101 34.1398664, -118.1224318 34.139867, -118.1222034 34.1398679, -118.122199 34.1390623, -118.1226056 34.1390608, -118.1226079 34.1394691, -118.1226101 34.1398664))",,yes,Holliston Parking Structure,,"[566601755, 4003035631, 566601758, 566601760, 566601761, 844352177, 566601755]",,,,,,,,multi-storey,,370,South Holliston Avenue,,,,,,,,,,"34.13946435213199,-118.12240452954829",Holliston Parking Structure,,,370 South Holliston Avenue,,,,,,
55,restaurant,"POLYGON ((-118.1235967 34.137472, -118.1234291 34.1374731, -118.1234278 34.1375242, -118.1233406 34.1375242, -118.1231689 34.1375264, -118.1231703 34.137482, -118.1230254 34.1374798, -118.1228504 34.1374811, -118.1228498 34.1376119, -118.1228122 34.1376108, -118.1228122 34.1376507, -118.1229517 34.1376519, -118.1229517 34.1376685, -118.1230925 34.1376696, -118.1230911 34.1376852, -118.123185 34.137684, -118.123185 34.1377728, -118.1234921 34.1377728, -118.1234921 34.137744, -118.1235552 34.1377451, -118.1235565 34.1376996, -118.1235941 34.1377018, -118.1235964 34.1374988, -118.1235967 34.137472))",,yes,Browne Dining Hall (Chandler),,"[571718724, 571718725, 571718728, 368343006, 566601864, 571718703, 368342744, 571718706, 566601867, 571718705, 571718731, 571718734, 571718736, 571718743, 571718746, 571718749, 571718751, 571718754, 571718756, 571718760, 571718764, 571718768, 2029287303, 571718724]",,,,,,,,,,,,,,,,,,,,,"34.1376113853926,-118.12325213321529",Browne Dining Hall (Chandler),Chandler,chandler,Browne Café,52,CHANDLER DINING HALL,Substation 1,,Lee F. Browne Dining Hall,
56,,"POLYGON ((-118.1238931 34.1387929, -118.1236517 34.1388029, -118.1236477 34.1386242, -118.1238891 34.1386309, -118.1238931 34.1387929))",,yes,Transportation and Grounds Operations,,"[571721398, 571721399, 571721400, 571721401, 571721398]",,,,,,,,,,,,,,,,,,,,,"34.13871276153368,-118.1237684287514",Transportation and Grounds Operations,,,NAN,82,TRANSPORTATION AND GROUNDS OPERATIONS,,Yes,,Not in Single Line
57,restaurant,"POLYGON ((-118.12675684690474 34.13971441238487, -118.12674209475516 34.13973550226862, -118.12671795487404 34.139749932186035, -118.12670990824701 34.13981986175097, -118.12670454382895 34.1399253109855, -118.12675014138223 34.13990200116602, -118.12679708003996 34.13986759142078, -118.12682792544366 34.1398298516841, -118.12684804201128 34.13979544190949, -118.12686011195181 34.139749932186035, -118.12686145305634 34.139718852360836, -118.12684133648872 34.139715522378886, -118.12675684690474 34.13971441238487))",,yes,Broad Cafe,,"[571721402, 3704238371, 6911382215, 571721403, 571721404, 6911382216, 6911382217, 6911382223, 6911382232, 6911382231, 6911382233, 571721405, 6911382234, 6911382230, 6911382235, 571721406, 6911382238, 6911382239, 6911382242, 6911382243, 6911382244, 6911382246, 6911382249, 6911382248, 6911382247, 6911382245, 6911382241, 6911382240, 6911382237, 6911382236, 571721407, 6911382228, 6911382222, 6911382229, 571721408, 6911382227, 6911382221, 6911382226, 571721409, 6911382225, 6911382220, 6911382224, 6911382219, 6911382218, 571721410, 571721411, 571721412, 571721413, 571721402]",,,,,,,,,,,,,,,,,,,,,"34.139801895286624,-118.12677504616605",Broad Café,Broad Center,broadCenter,Broad Cafe,096C,BROAD CAFÉ,Substation 3,,,
58,,"POLYGON ((-118.127802 34.1335482, -118.1275249 34.1335526, -118.1275111 34.1329243, -118.1278019 34.1329214, -118.127802 34.1335482))",,yes,Morrisroe IPAC,,"[577516312, 577516313, 577516316, 577516317, 577516312]",,,,,,,,,,,,,,,,,,,,,"34.13323410606475,-118.12765988390377",Morrisroe IPAC,Morrisroe IPAC,morrisroeIPAC,Morrisroe,22,MORRISROE LABORATORY,Substation 4,,,
59,,"POLYGON ((-118.1276594 34.1354137, -118.1275384 34.1354181, -118.1275225 34.1349794, -118.1277857 34.1349778, -118.1277856 34.1353429, -118.1276632 34.1353422, -118.1276594 34.1354137))",,yes,Central Plant,,"[844844454, 844844463, 844844456, 844844447, 844844441, 844844461, 844844454]",,,,,,,,,,,,,,,,,,,,,"34.13517855664405,-118.12765220010121",Central Plant,Central Plant,centralPlant,NAN,5,CENTRAL PLANT,Central Plant,,,
60,,"POLYGON ((-118.127618 34.1348401, -118.1275041 34.1348379, -118.1275027 34.1346747, -118.12761 34.1346736, -118.1276113 34.1345382, -118.1277843 34.1345382, -118.1277857 34.1348057, -118.1276167 34.1348068, -118.127618 34.1348401))",,yes,Central Plant Cooling Towers,,"[844844462, 844844445, 844844470, 844844459, 844844451, 844844443, 844844467, 844844455, 844844462]",,,,,,,,,,,,,,,,,,,,,"34.13469591946688,-118.12765904040153",Central Plant Cooling Towers,Central Plant,centralPlant,NAN,5,CENTRAL PLANT,Central Plant,,,
61,,"POLYGON ((-118.1251894 34.1412198, -118.1246595 34.1412371, -118.1246529 34.1410987, -118.1251828 34.1410814, -118.1251894 34.1412198))",91106,yes,Financial Services,,"[844844452, 844844466, 844844458, 844844449, 844844452]",,usgs_imagery;survey;image,AM909_DSCV2818,,,,,,,271,South Chester Avenue,,,,,,,,,,"34.141159249999994,-118.12492115",Financial Services,,,Financial Services,15,BUILDING 15,,Yes,,Not in Single Line
62,,"POLYGON ((-118.1250166 34.1416456, -118.1250101 34.1413265, -118.1246562 34.1413315, -118.1246628 34.1416506, -118.1250166 34.1416456))",,yes,IMSS,,"[844844465, 844844446, 844844468, 844844460, 844844465]",,,,,,,,,,,,,,,,,,,,,"34.14148854248907,-118.12483642471524",IMSS,,,IMSS,10,IMSS,,Yes,,Not in Single Line
63,,"POLYGON ((-118.1290057 34.1398616, -118.1290063 34.1399605, -118.1287318 34.1399617, -118.1287312 34.1398628, -118.1290057 34.1398616))",91106,apartments,346 S Catalina,,"[844945326, 844945525, 844945210, 844945348, 844945326]",,,,,3,,,,,1040,South Catalina Avenue,Pasadena,CA,,,,,,,,"34.13991165,-118.12886875",346 S Catalina,,,1040 South Catalina Avenue,113,CAT-346 CATALINA,,Catalina Graduate Apartment Complex,,Not in Single Line
64,,"POLYGON ((-118.1263057 34.1398862, -118.126253 34.1398865, -118.1262531 34.1398943, -118.1261605 34.1398949, -118.1261593 34.139762, -118.1261536 34.139762, -118.1261531 34.1397026, -118.1262094 34.1397022, -118.1262092 34.1396727, -118.126188 34.1396729, -118.1261875 34.1396089, -118.1262167 34.1396088, -118.1262163 34.1395655, -118.1262893 34.139565, -118.12629 34.1396494, -118.1262703 34.1396495, -118.1262708 34.1397003, -118.1262886 34.1397002, -118.1262891 34.1397636, -118.1262819 34.1397636, -118.1262826 34.1398323, -118.1263052 34.1398322, -118.1263057 34.1398862))",91106,yes,Tolman-Bacher House (Keck Center),,"[844945364, 7876638977, 7876638978, 844945610, 7876638971, 7876638970, 844945647, 3704238378, 3704238379, 3704238380, 3704238381, 3704238382, 3704238383, 3704238384, 7876638972, 7876638973, 7876638974, 7876638975, 844945495, 7876638976, 7876638979, 7876638980, 844945364]",,usgs_imagery;survey;image,AM909_DSCV2824,,,,,,,345,Michigan Ave,Pasadena,CA,S,,,,,,,"34.13974787076419,-118.12622952515629",Tolman-Bacher House (Keck Center),,,Tolman-Bacher House,,,,,,
65,,"POLYGON ((-118.129232 34.1402761, -118.129112 34.1402773, -118.129108 34.1400095, -118.129228 34.1400083, -118.129232 34.1402761))",91106,apartments,1036 E Del Mar,,"[844945361, 844945586, 844945386, 844945626, 844945361]",,,,,3,,,,,1036,South Catalina Avenue,Pasadena,CA,,,,,,,,"34.14014280000001,-118.12917000000003",1036 E Del Mar,,,1036 South Catalina Avenue,115,CAT-1036 DEL MAR,,Catalina Graduate Apartment Complex,,Not in Single Line
66,,"POLYGON ((-118.1288711 34.1404224, -118.1287818 34.1404229, -118.1287521 34.1404231, -118.12875 34.1401734, -118.128869 34.1401728, -118.1288711 34.1404224))",,apartments,1028 E Del Mar,,"[844945597, 844945553, 844945253, 844945208, 844945389, 844945597]",,,,,3,,,,,,,,,,,,,,,,"34.14029791884267,-118.128810546479",1028 E Del Mar,,,NAN,120,CAT-1028 DEL MAR,,Catalina Graduate Apartment Complex,,Not in Single Line
67,,"POLYGON ((-118.129005 34.1405588, -118.1289224 34.1404875, -118.129156 34.1403021, -118.1292385 34.1403733, -118.129005 34.1405588))",91106,apartments,1032 E Del Mar,,"[844945446, 844945126, 844945333, 844945471, 844945446]",,,,,3,,,,,1032,East Del Mar Boulevard,Pasadena,CA,,,,,,,,"34.140430445477385,-118.12908044971918",1032 E Del Mar,,,1032 East Del Mar Boulevard,117,CAT-1032 DEL MAR,,Catalina Graduate Apartment Complex,,Not in Single Line
68,,"POLYGON ((-118.1289028 34.1406317, -118.1287832 34.1406323, -118.1287818 34.1404229, -118.1288711 34.1404224, -118.1289012 34.1404222, -118.1289028 34.1406317))",,apartments,1028 E Del Mar,,"[844945144, 844945341, 844945553, 844945597, 844945181, 844945144]",,,,,3,,,,,,,,,,,,,,,,"34.14052730996332,-118.12884225450301",1028 E Del Mar,,,NAN,120,CAT-1028 DEL MAR,,Catalina Graduate Apartment Complex,,Not in Single Line
69,,"POLYGON ((-118.1286939 34.1384593, -118.1286911 34.1383605, -118.1290141 34.1383544, -118.1290169 34.1384532, -118.1286939 34.1384593))",91106,apartments,450 S Catalina,,"[844945407, 844945583, 844945245, 844945442, 844945407]",,,,,3,,,,,450,South Catalina Avenue,Pasadena,CA,,,,,,,,"34.138406849999996,-118.128854",450 S Catalina,,,450 South Catalina Avenue,104,CAT-450 CATALINA,,Catalina Graduate Apartment Complex,,Not in Single Line
70,,"POLYGON ((-118.128963 34.1389038, -118.1288785 34.1388339, -118.129107 34.1386445, -118.1291915 34.1387144, -118.128963 34.1389038))",91106,apartments,442 S Catalina,,"[844945487, 844945189, 844945331, 844945532, 844945487]",,,,,3,,,,,442,South Catalina Avenue,Pasadena,CA,,,,,,,,"34.13877415,-118.12903500000002",442 S Catalina,,,442 South Catalina Avenue,102,CAT-442 CATALINA,,Catalina Graduate Apartment Complex,,Not in Single Line
71,,"POLYGON ((-118.1291988 34.1395458, -118.129139 34.1396316, -118.1289012 34.1395181, -118.128961 34.1394323, -118.1291988 34.1395458))",,apartments,336 S Catalina,,"[844945391, 844945630, 844945301, 844945483, 844945391]",,,,,3,,,,,,,,,,,,,,,,"34.13953195,-118.12905",336 S Catalina,,,NAN,110,CAT-366 CATALINA,,Catalina Graduate Apartment Complex,,Not in Single Line
72,,"POLYGON ((-118.129199 34.1394381, -118.129079 34.1394385, -118.129078 34.1392109, -118.129198 34.1392105, -118.129199 34.1394381))",,apartments,370 S Catalina,,"[844945229, 844945363, 844945604, 844945258, 844945229]",,,,,3,,,,,,,,,,,,,,,,"34.1393245,-118.1291385",370 S Catalina,,,NAN,108,CAT-370 CATALINA,,Catalina Graduate Apartment Complex,,Not in Single Line
73,,"POLYGON ((-118.1290261 34.1406743, -118.1290268 34.1407732, -118.1287518 34.1407745, -118.1287511 34.1406757, -118.1290261 34.1406743))",91106,apartments,1024 E Del Mar,,"[844945226, 844945423, 844945654, 844945318, 844945226]",,,,,3,,,,,1024,East Del Mar Boulevard,Pasadena,CA,,,,,,,,"34.140724424864985,-118.12888897318233",1024 E Del Mar,,,1024 East Del Mar Boulevard,119,CAT-1024 DEL MAR,,Catalina Graduate Apartment Complex,,Not in Single Line
74,,"POLYGON ((-118.1291898 34.1386218, -118.1290703 34.1386229, -118.1290667 34.1383551, -118.1291862 34.138354, -118.1291898 34.1386218))",91106,apartments,446 S Catalina,,"[844945259, 844945458, 844945154, 844945633, 844945259]",,,,,3,,,,,446,South Catalina Avenue,Pasadena,CA,,,,,,,,"34.138488450000004,-118.12912825",446 S Catalina,,,446 South Catalina Avenue,103,CAT-446 CATALINA,,Catalina Graduate Apartment Complex,,Not in Single Line
75,,"POLYGON ((-118.1290142 34.1391768, -118.1290149 34.1392756, -118.1287399 34.139277, -118.1287392 34.1391781, -118.1290142 34.1391768))",,apartments,348 S Catalina,,"[844945385, 844945624, 844945282, 844945430, 844945385]",,,,,,,,,,,,,,,,,,,,,"34.139226875135016,-118.12887702681768",348 S Catalina,,,NAN,107,CAT-378 CATALINA,,Catalina Graduate Apartment Complex,,Not in Single Line
76,,"POLYGON ((-118.1288173 34.1396467, -118.1286978 34.1396476, -118.1286942 34.1393163, -118.1288138 34.1393154, -118.1288173 34.1396467))",,apartments,362 S Catalina,,"[844945162, 844945503, 844945194, 844945383, 844945162]",,,,,3,,,,,,,,,,,,,,,,"34.139481476908486,-118.12875577472992",362 S Catalina,,,NAN,109,CAT-362 CATALINA,,Catalina Graduate Apartment Complex,,Not in Single Line
77,,"POLYGON ((-118.1292309 34.140777, -118.1291109 34.1407782, -118.129107 34.1405103, -118.129227 34.1405091, -118.1292309 34.140777))",91106,apartments,1020 E Del Mar,,"[844945351, 844945580, 844945382, 844945279, 844945351]",,,,,3,,,,,1020,East Del Mar Boulevard,Pasadena,CA,,,,,,,,"34.14064365,-118.12916895000001",1020 E Del Mar,,,1020 East Del Mar Boulevard,118,CAT-1020 DEL MAR,,Catalina Graduate Apartment Complex,,Not in Single Line
78,,"POLYGON ((-118.129204 34.139921, -118.129085 34.1399221, -118.129082 34.1396945, -118.129201 34.1396934, -118.129204 34.139921))",91106,apartments,348 S Catalina,,"[844945236, 844945436, 844945614, 844945275, 844945236]",,,,,3,,,,,348,South Catalina Avenue,Pasadena,CA,,,,,,,,"34.13980775,-118.12914299999998",348 S Catalina,,,348 South Catalina Avenue,112,CAT-348 CATALINA,,Catalina Graduate Apartment Complex,,Not in Single Line
79,,"POLYGON ((-118.129197 34.1391186, -118.129078 34.1391197, -118.129074 34.1388519, -118.129193 34.1388508, -118.129197 34.1391186))",91106,apartments,430 S Catalina,,"[844945345, 844945563, 844945235, 844945432, 844945345]",,,,,3,,,,,430,South Catalina Avenue,Pasadena,CA,,,,,,,,"34.13898525,-118.1291355",430 S Catalina,,,430 South Catalina Avenue,101,CAT-430 CATALINA,,Catalina Graduate Apartment Complex,,Not in Single Line
80,,"POLYGON ((-118.128736 34.1401191, -118.128735 34.1400203, -118.129058 34.140018, -118.129059 34.1401169, -118.128736 34.1401191))",91106,apartments,1040 E Del Mar,,"[844945473, 844945120, 844945324, 844945506, 844945473]",,,,,3,,,,,1040,South Catalina Avenue,Pasadena,CA,,,,,,,,"34.140068574784536,-118.12889702722764",1040 E Del Mar,,,1040 South Catalina Avenue,114,CAT-1040 DEL MAR,,Catalina Graduate Apartment Complex,,Not in Single Line
81,,"POLYGON ((-118.1288377 34.1389672, -118.1287182 34.1389682, -118.1287128 34.1385112, -118.1288322 34.1385102, -118.1288377 34.1389672))",91106,apartments,438 S Catalina,,"[844945280, 844945466, 844945167, 844945358, 844945280]",,,,,3,,,,,438,South Catalina Avenue,Pasadena,CA,,,,,,,,"34.1387392318789,-118.1287752253984",438 S Catalina,,,438 South Catalina Avenue,105,CAT-438 CATALINA,,Catalina Graduate Apartment Complex,,Not in Single Line
82,,"POLYGON ((-118.1290299 34.1390268, -118.1290312 34.1391256, -118.1287777 34.139128, -118.1287764 34.1390291, -118.1290299 34.1390268))",91106,apartments,434 S Catalina,,"[844945476, 844945176, 844945362, 844945589, 844945476]",,,,,3,,,,,434,South Catalina Avenue,Pasadena,CA,,,,,,,,"34.13907737524082,-118.12890377863242",434 S Catalina,,,434 South Catalina Avenue,100,CAT-434 CATALINA,,Catalina Graduate Apartment Complex,,Not in Single Line
83,,"POLYGON ((-118.1260101 34.1365513, -118.1258143 34.1365524, -118.1258143 34.1364158, -118.1257941 34.1364158, -118.1257915 34.1363503, -118.1258129 34.1363492, -118.1258143 34.1361972, -118.1260074 34.1361961, -118.1260114 34.1364081, -118.1260101 34.1365513))",,yes,East Bridge,,"[1375679887, 566600960, 571720500, 571720501, 571720502, 571720503, 566600961, 566600962, 571720504, 1375679887]",,,,,3,,,,,,,,,,,,,,,,"34.136374758305486,-118.12590980595304",East Bridge,East Bridge,eBridge,E Bridge,033E,BRIDGE LABORATORIES EAST,Substation 1,,,
84,,"POLYGON ((-118.1262689 34.1365513, -118.1264325 34.1365499, -118.1264607 34.1365503, -118.126462 34.1362027, -118.1262702 34.1361994, -118.1262676 34.1364081, -118.1262689 34.1365513))",,yes,West Bridge,,"[1375679866, 566600970, 1375679900, 566600967, 566600966, 566600965, 1375679866]",,,,,3,,,,,,,,,,,,,,,,"34.13637583484702,-118.1263647759017",West Bridge,West Bridge,wBridge ,W Bridge,033W,BRIDGE LABORATORIES WEST,Substation 1,,,
85,,"POLYGON ((-118.1262689 34.1365513, -118.1260101 34.1365513, -118.1260114 34.1364081, -118.1260557 34.1364081, -118.1260557 34.1363204, -118.1262099 34.1363204, -118.1262072 34.136407, -118.1262676 34.1364081, -118.1262689 34.1365513))",,yes,Bridge Annex,,"[1375679866, 1375679887, 571720504, 566600964, 571720505, 571720506, 571720507, 566600965, 1375679866]",,,,,3,,,,,,,,,,,,,,,,"34.13644894850007,-118.1261375914812",Bridge Annex,,,Bridge Annex,34,BRIDGE ANNEX,Substation 1,Yes,,"Not in Single Line, sits between E and W Bridge"
