,amenity,geometry,addr:postcode,building,name,website,nodes,official_name,source,source_ref,created_by,building:levels,building:levels:underground,fee,parking,leisure,addr:housenumber,addr:street,addr:city,addr:state,addr:street_direction_prefix,layer,opening_hours,addr:housename,ways,type,wikidata,Osm Centroid Coords,Map Name,Single Line Building Name,Building String,OSM Raw Data Name,Building Number,Caltech Building List Name,Substation,Caltech Campus Map,New Building Name,Notes
86,,"POLYGON ((-118.1228062 34.1364849, -118.1228068 34.1363911, -118.1230791 34.1363873, -118.1230791 34.1364855, -118.1228062 34.1364849))",,yes,Student Activities Center (SAC),,"[368348869, 368344085, 368344006, 368343879, 368348869]",,,,,,,,,,,,,,,,,,,,,"34.13643721189595,-118.1229438419767",Student Activities Center (SAC),South Undergraduate Houses,sugHouses,South Kitchens,057B,STUDENT ACTIVITIES CENTER (SAC),Substation 1,,,"Combines multiple buildings, Not in single line, only Caltech building list"
87,,"POLYGON ((-118.1217806 34.141595, -118.1216718 34.1415983, -118.1216718 34.1415651, -118.1216128 34.1415662, -118.1216141 34.1414385, -118.1218153 34.1414385, -118.121818 34.1415184, -118.1217791 34.1415184, -118.1217806 34.141595))",,yes,Office of Residential Experience,,"[1721428242, 1721428247, 1721428245, 1721428237, 1721428239, 1721428238, 1721428246, 1721428244, 1721428242]",,,,,,,,,,,,,,,,,,,,,"34.14150934252048,-118.12171096921038",Office of Residential Experience,,,Munth,,,,,,
88,,"POLYGON ((-118.123173 34.1397853, -118.1231716 34.1396354, -118.1231448 34.1396354, -118.1231435 34.139591, -118.1231636 34.139591, -118.1231636 34.1395566, -118.1232427 34.1395566, -118.12324 34.1396288, -118.1233285 34.1396277, -118.1233299 34.1397831, -118.123173 34.1397853))",,yes,Steele House,,"[1892178487, 1892178479, 1892178098, 1892177999, 1892177965, 1892178018, 1892178271, 1892178441, 1892178368, 1892178031, 1892178487]",,,,,,,,,,,,,,,,,,,,,"34.139682973447584,-118.12323907682325",Steele House,,,NAN,94,STEELE HOUSE,,Yes,,Not in Single Line
89,fire_station,"POLYGON ((-118.1224763 34.1413766, -118.1221743 34.1413802, -118.1221703 34.1411326, -118.1224723 34.141129, -118.1224733 34.1411576, -118.1225333 34.1411569, -118.1225363 34.1413508, -118.1224753 34.1413515, -118.1224763 34.1413766))",,yes,Pasadena Fire Station No. 34,,"[1892178437, 1892178379, 1892178049, 1892178190, 1892178184, 1892178100, 1892178323, 1892178146, 1892178437]",,,,,,,,,,,,,,,,,,,,,"34.14125452241015,-118.12234787010439",Pasadena Fire Station No. 34,,,NAN,,,,,,
90,,"POLYGON ((-118.1241101 34.1413296, -118.1241097 34.1412297, -118.1242803 34.1412292, -118.1242807 34.1413291, -118.1241101 34.1413296))",,house,International Scholar Services,,"[1892178074, 1892178143, 1892177968, 1892178338, 1892178074]",,,,,,,,,,,,,,,,,,,,,"34.14127940000001,-118.12419519999999",International Scholar Services,,,NAN,11,CHESTER 266-ISS,,Yes,,"Not in Single Line, International Scholar Services"
91,bank,"POLYGON ((-118.1282386 34.1370743, -118.1282378 34.1370265, -118.1282769 34.137026, -118.1282759 34.1369623, -118.128361 34.1369614, -118.128362 34.1370224, -118.12838 34.1370223, -118.1283809 34.1370728, -118.1282386 34.1370743))",,yes,Caltech Credit Union,,"[2029269105, 2029269097, 2029269095, 2029269085, 2029269084, 2029269093, 2030772627, 2030772629, 2029269105]",,,,,,,,,,,,,,,,Mo-Fr 08:30-16:00,,,,,"34.137024828220895,-118.12831383405327",Caltech Credit Union,,,Caltech Employees Federal Credit Union,63,WILSON 515-CREDIT UNION-SECURITY,,Yes,,"Not in Single Line, also includes Parking Office"
92,,"POLYGON ((-118.1286531 34.1372852, -118.1285151 34.1372857, -118.1285151 34.1371467, -118.1286521 34.1371462, -118.1286531 34.1372852))",,yes,Caltech Y (Tyson House),,"[2029269147, 2029269149, 2029269124, 2029269120, 2029269147]",,,,,2,,,,,,,,,,,,Tyson House (Caltech Y),,,,"34.13721603424023,-118.12858385060278",Caltech Y (Tyson House),,,Caltech Y (Tyson House),128,WILSON 505-CALTECH Y,,Tyson House,,Not in Single Line
93,,"POLYGON ((-118.1287355 34.1372851, -118.1286675 34.1372851, -118.1286675 34.1372256, -118.1287355 34.1372256, -118.1287355 34.1372851))",,yes,Caltech Y (Tyson House),,"[2029269145, 2029269143, 2029269134, 2029269136, 2029269145]",,,,,,,,,,,,,,,,,,,,,"34.137255350000004,-118.1287015",Caltech Y (Tyson House),,,NAN,128,WILSON 505-CALTECH Y,,Tyson House,,Not in Single Line
94,,"POLYGON ((-118.1282112 34.1361814, -118.1282095 34.1360389, -118.1284116 34.1360373, -118.1284132 34.1361798, -118.1282112 34.1361814))",,yes,Audit Services and Institute Compliance Office,,"[2029269000, 2029268988, 2029268985, 2029268998, 2029269000]",,,,,,,,,,,,,,,,,,,,,"34.13610934412403,-118.12831137483838",Audit Services and Institute Compliance Office,,,Audit Services and Institute Compliance Office,64,WILSON 565-INTERNAL AUDIT,,Yes,,Not in Single Line
95,,"POLYGON ((-118.1284242 34.1364405, -118.1282125 34.1364408, -118.1282122 34.136283, -118.128424 34.1362828, -118.1284242 34.1364405))",,yes,Treasurer's Office,,"[2029269018, 2029269020, 2029269008, 2029269006, 2029269018]",,,,,,,,,,,,,,,,,,,,,"34.13636176881488,-118.12831821379103",Treasurer's Office,,,Treasurer's Office,42,WILSON 551-INVESTMENT OFFICE,,Yes,,Not in Single Line
96,,"POLYGON ((-118.1284789 34.1368423, -118.1282239 34.136847, -118.1282205 34.1367189, -118.1284754 34.1367142, -118.1284789 34.1368423))",,yes,US Geological Survey,,"[2029269076, 2029269077, 2029269070, 2029269068, 2029269076]",,,,,,,,,,,,,,,,,,,,,"34.136780604179386,-118.12834967541832",US Geological Survey,,,US Geological Survey,39,WILSON 525-USGS,,Yes,,Not in Single Line
97,,"POLYGON ((-118.1287535 34.137112, -118.1286705 34.1371133, -118.1286685 34.1370233, -118.1287515 34.137022, -118.1287535 34.137112))",,yes,Clima 516 House S Catalina,,"[2029269107, 2029269114, 2029269089, 2029269088, 2029269107]",,,,,,,,,,,,,,,,,,,,,"34.137067650000006,-118.12871100000001",Clima 516 House S Catalina,,,NAN,221,CATALINA 516,,No,,"Not in Single Line, CLIMA House"
98,,"POLYGON ((-118.1290075 34.1372665, -118.1288515 34.137265, -118.1288535 34.137138, -118.1290095 34.1371395, -118.1290075 34.1372665))",,yes,Caltech Housing,,"[2029269140, 2029269138, 2029269116, 2029269118, 2029269140]",,,,,,,,,,,,,,,,,,,,,"34.13720225,-118.1289305",Caltech Housing,,,NAN,,,,,,
99,,"POLYGON ((-118.1290068 34.1370291, -118.1287718 34.1370243, -118.1287738 34.13697, -118.1288258 34.1369711, -118.1288288 34.1368831, -118.1290108 34.1368868, -118.1290068 34.1370291))",,yes,Clima 516 House S Catalina,,"[2029269099, 2029269091, 2029269086, 2029269087, 2029269080, 2029269082, 2029269099]",,,,,,,,,,,,,,,,,,,,,"34.1369602283928,-118.12890592368812",Clima 516 House S Catalina,,,NAN,221,CATALINA 516,,No,,"Not in Single Line, CLIMA House"
100,,"POLYGON ((-118.1284731 34.1366366, -118.1282178 34.1366369, -118.1282175 34.1365007, -118.1283392 34.1365005, -118.1283394 34.136571, -118.128473 34.1365709, -118.1284731 34.1366366))",,yes,USGS Fitzhugh House,,"[2029269058, 2029269060, 2029269033, 2029269031, 2029269052, 2029269050, 2029269058]",,,,,,,,,,,,,,,,,,,,,"34.13658086665623,-118.12832273638854",USGS Fitzhugh House,,,Fitzhugh House,65,WILSON 535-USGS,,Fitzhugh USGS,,Not in Single Line
101,,"POLYGON ((-118.1284674 34.1370731, -118.1283809 34.1370728, -118.12838 34.1370223, -118.1284683 34.1370233, -118.1284674 34.1370731))",,yes,Parking and Security Office,,"[2030772631, 2030772629, 2030772627, 2030772628, 2030772631]",,,,,,,,,,,,,,,,,,,,,"34.13704778818861,-118.12842405028249",Parking and Security Office,,,Parking and Security Office,63,WILSON 515-CREDIT UNION-SECURITY,,Yes,,"Not in Single Line, also includes Parking Office"
102,,"POLYGON ((-118.1216066 34.1413139, -118.1216066 34.1411361, -118.1216527 34.1411361, -118.1216527 34.1411719, -118.1217565 34.1411718, -118.1217565 34.1412273, -118.1218088 34.1412273, -118.1218088 34.1413139, -118.1216066 34.1413139))",91106,yes,TACIT House,,"[2108270305, 2108270267, 2108270269, 2108270287, 2108270284, 2108270290, 2108270293, 2108270308, 2108270305]",,,,,,,,,,275,South Hill Avenue,,,,,,,,,,"34.14124211264194,-118.1216951083304",TACIT House,,,275 South Hill Avenue,67,HILL 275-TACIT,,Yes,,Not in Single Line
103,,"POLYGON ((-118.1217579 34.1408712, -118.1217579 34.1409647, -118.1217761 34.1409647, -118.1217761 34.1410328, -118.1216087 34.1410328, -118.1216087 34.1409745, -118.1216317 34.1409745, -118.1216317 34.1408712, -118.1217579 34.1408712))",91106,yes,Rickenbaugh House,,"[2108270242, 2108270245, 2108270248, 2108270258, 2108270255, 2108270251, 2108270253, 2108270238, 2108270242]",,,,,,,,,,287,South Hill Avenue,,,,,,,,,,"34.14095753665192,-118.12169434100697",Rickenbaugh House,,,287 South Hill Avenue,98,HILL 287-VACANT,,No,,"Not in Single Line, Rickenbaugh House"
104,,"POLYGON ((-118.1219351 34.1406592, -118.1219351 34.140722, -118.1217497 34.140722, -118.1217497 34.1407783, -118.1216284 34.1407783, -118.1216284 34.1407098, -118.1216018 34.1407098, -118.1216018 34.1406592, -118.1219351 34.1406592))",91106,yes,Academic Media Technologies,,"[2108270215, 2108270225, 2108270222, 2108270235, 2108270233, 2108270219, 2108270217, 2108270213, 2108270215]",,,,,,,,,,295,South Hill Avenue,,,,,,,,,,"34.14070512359001,-118.12175050007437",Academic Media Technologies,,,295 South Hill Avenue,9,HILL 295-ACADEMIC MEDIA,,Yes,,Not in Single Line
105,,"POLYGON ((-118.1216008 34.1406306, -118.1216008 34.1405066, -118.12166 34.1405066, -118.12166 34.1405262, -118.1217753 34.1405262, -118.1217754 34.1406306, -118.1216008 34.1406306))",91106,yes,Music House,,"[2108270208, 2108270195, 2108270198, 2108270201, 2108270204, 2108270211, 2108270208]",,,,,,,,,,305,South Hill Avenue,,,,,,,,,,"34.140574693259474,-118.12168462247774",Music House,,,305 South Hill Avenue,70,HILL 305-MUSIC,,Yes,,Not in Single Line
106,,"POLYGON ((-118.1215929 34.140456, -118.121593 34.1403303, -118.1217931 34.1403303, -118.1217931 34.140456, -118.1215929 34.140456))",91106,yes,Strategic Communication 315 Hill Front,,"[2108270189, 2108270161, 2108270164, 2108270192, 2108270189]",,,,,,,,,,315,South Hill Avenue,,,,,,,,,,"34.140393155233575,-118.12169302499794",Strategic Communication 315 Hill Front,365/315 S Hill St,hillSt315,315 South Hill Avenue,71,HILL 315- FRONT STRAT COM,Satellite Plant,,,Combines multiple buildings
107,,"POLYGON ((-118.1215729 34.1397888, -118.1217937 34.1397888, -118.1217937 34.1398443, -118.1217218 34.1398443, -118.1217218 34.1399961, -118.121633 34.1399961, -118.121633 34.1399438, -118.1215729 34.1399438, -118.1215729 34.1397888))",91106,yes,Alumni House,,"[2108270123, 2108270125, 2108270127, 2108270126, 2108270140, 2108270136, 2108270134, 2108270131, 2108270123]",,,,,,,,,,345,South Hill Avenue,,,,,,,,,,"34.13987521873916,-118.12166564165719",Alumni House,,,345 South Hill Avenue,97,HILL 345-ALUMNI,,Yes,,Not in Single Line
108,,"POLYGON ((-118.1218361 34.1393898, -118.1216932 34.1393898, -118.1216932 34.1394281, -118.1216261 34.1394281, -118.1216261 34.1393898, -118.1216044 34.1393898, -118.1216044 34.1391817, -118.1216892 34.1391817, -118.1216892 34.13922, -118.1218361 34.13922, -118.1218361 34.1393898))",91106,yes,Undergraduate Admissions & Financial Aid,,"[2108270091, 2108270090, 2108270095, 2108270094, 2108270089, 2108270088, 2108270084, 2108270085, 2108270086, 2108270087, 2108270091]",,,,,,,,,,383,South Hill Avenue,,,,,,,,,,"34.13930333808982,-118.12171151909095",Undergraduate Admissions & Financial Aid,,,383 South Hill Avenue,90,HILL 383-UNDERGRADUATE ADMISSIONS & FINANCIAL AID,,Yes,,Not in Single Line
109,,"POLYGON ((-118.1216904 34.1386609, -118.1219414 34.1386609, -118.1219414 34.1387509, -118.1218801 34.1387509, -118.1218801 34.1388005, -118.1219414 34.1388005, -118.1219414 34.1388663, -118.1219066 34.1388663, -118.1219066 34.1388848, -118.1216904 34.1388848, -118.1216904 34.1386609))",91106,yes,President’s Residence,,"[2108270070, 2108270071, 2108270073, 2108270072, 2108270074, 2108270075, 2108270077, 2108270076, 2108270079, 2108270078, 2108270070]",,,,,,,,,,415,South Hill Avenue,,,,,,,,,,"34.1387714259465,-118.12180908314961",President’s Residence,President Residence,presidentResidence,415 South Hill Avenue,220,HILL 415-PRES RES,Substation 2,,,
110,,"POLYGON ((-118.1218588 34.1397456, -118.1218588 34.139655, -118.1219278 34.139655, -118.1219278 34.1397456, -118.1218588 34.1397456))",,yes,Einstein Papers House,,"[2108270119, 2108270107, 2108270109, 2108270121, 2108270119]",,,,,,,,,,,,,,,,,,,,,"34.1397003,-118.1218933",Einstein Papers House,,,NAN,7,HILL 363 - EINSTEIN,,Yes,,Not in Single Line
111,,"POLYGON ((-118.1218661 34.1412418, -118.121866 34.1410925, -118.122011 34.1410925, -118.122011 34.1412418, -118.1218661 34.1412418))",,yes,TACIT House,,"[2108270296, 2108270261, 2108270264, 2108270298, 2108270296]",,,,,,,,,,,,,,,,,,,,,"34.14116714141658,-118.12193852499712",TACIT House,,,NAN,67,HILL 275-TACIT,,Yes,,Not in Single Line
112,,"POLYGON ((-118.1219535 34.1396901, -118.1219535 34.1395301, -118.1220343 34.1395301, -118.1220343 34.1396901, -118.1219535 34.1396901))",,yes,Einstein Papers House,,"[2108270111, 2108270098, 2108270099, 2108270113, 2108270111]",,,,,,,,,,,,,,,,,,,,,"34.1396101,-118.1219939",Einstein Papers House,,,NAN,7,HILL 363 - EINSTEIN,,Yes,,Not in Single Line
113,,"POLYGON ((-118.1219873 34.1404291, -118.1218868 34.1404291, -118.1218868 34.1403711, -118.1219873 34.1403711, -118.1219873 34.1404291))",,yes,SFCC 315 Hill Back,,"[2108270186, 2108270173, 2108270167, 2108270170, 2108270186]",,,,,,,,,,,,,,,,,,,,,"34.140400099999994,-118.12193704999999",SFCC 315 Hill Back,365/315 S Hill St,hillSt315,NAN,071A,HILL 315-BACK SFCC,Satellite Plant,,,Combines multiple buildings
114,,"POLYGON ((-118.1219903 34.1413797, -118.1219903 34.1412761, -118.1220879 34.1412761, -118.1220879 34.1413797, -118.1219903 34.1413797))",,yes,TACIT House,,"[2108270311, 2108270301, 2108270303, 2108270313, 2108270311]",,,,,,,,,,,,,,,,,,,,,"34.1413279,-118.12203909999998",TACIT House,,,NAN,67,HILL 275-TACIT,,Yes,,Not in Single Line
115,,"POLYGON ((-118.1220718 34.1395269, -118.1219633 34.1395269, -118.1219633 34.1393963, -118.1220718 34.1393963, -118.1220718 34.1395269))",,yes,Undergraduate Admissions & Financial Aid Annex,,"[2108270097, 2108270096, 2108270092, 2108270093, 2108270097]",,,,,,,,,,,,,,,,,,,,,"34.139461600000004,-118.12201755000001",Undergraduate Admissions & Financial Aid Annex,,,NAN,090A,HILL 383-ANNEX,,Yes,Admissions Annex,Not in Single Line
116,,"POLYGON ((-118.1219599 34.1389901, -118.1219599 34.1389272, -118.1220565 34.1389272, -118.1220565 34.1389901, -118.1219599 34.1389901))",,yes,President’s Residence,,"[2108270082, 2108270080, 2108270081, 2108270083, 2108270082]",,,,,,,,,,,,,,,,,,,,,"34.13895865,-118.1220082",President’s Residence,President Residence,presidentResidence,NAN,220,HILL 415-PRES RES,Substation 2,,,
117,,"POLYGON ((-118.1215936 34.1400687, -118.1217553 34.1400687, -118.1217553 34.1402254, -118.1215936 34.1402254, -118.1215936 34.1400687))",,yes,331 S Hill,,"[2108270149, 2108270152, 2108270158, 2108270155, 2108270149]",,,,,,,,,,,,,,,,,,,,,"34.14014704999999,-118.12167444999999",331 S Hill,,,331 South Hill,,,,,,
118,,"POLYGON ((-118.1219732 34.1399194, -118.1219732 34.1399961, -118.1218943 34.1399961, -118.1218943 34.1399194, -118.1219732 34.1399194))",,yes,Alumni House,,"[2108270129, 2108270146, 2108270143, 2108270128, 2108270129]",,,,,,,,,,,,,,,,,,,,,"34.13995774999999,-118.12193375",Alumni House,,,NAN,97,HILL 345-ALUMNI,,Yes,,Not in Single Line
119,,"POLYGON ((-118.1215768 34.1395864, -118.1217297 34.1395864, -118.1217297 34.1397235, -118.1215768 34.1397235, -118.1215768 34.1395864))",,yes,Einstein Papers House,,"[2108270103, 2108270105, 2108270117, 2108270115, 2108270103]",,,,,,,,,,363,South Hill Avenue,,,,,,,,,,"34.13965495,-118.12165325000002",Einstein Papers House,,,363 South Hill Avenue,7,HILL 363 - EINSTEIN,,Yes,,Not in Single Line
120,,"POLYGON ((-118.1285901 34.1407989, -118.128588 34.1405112, -118.128733 34.1405104, -118.1287351 34.1407982, -118.1285901 34.1407989))",91106,yes,1052 E Del Mar,,"[2148537994, 2148537918, 2148537915, 2148537991, 2148537994]",,,,,,,,,,1052,South Hill Avenue,,,,,,,,,,"34.14065467485759,-118.12866155419822",1052 E Del Mar,,,1052 E Del Mar,,,,,,
121,,"POLYGON ((-118.1285325 34.1407983, -118.1284465 34.1407989, -118.1284452 34.1406666, -118.1285312 34.140666, -118.1285325 34.1407983))",91106,yes,1060 E Del Mar,,"[2148537987, 2148537988, 2148537950, 2148537949, 2148537987]",,,,,,,,,,1060,South Hill Avenue,,,,,,,,,,"34.14073245000001,-118.12848885000001",1060 E Del Mar,,,1060 E Del Mar,,,,,,
122,,"POLYGON ((-118.12829 34.1407367, -118.1283706 34.1407362, -118.1283713 34.140804, -118.1282907 34.1408046, -118.12829 34.1407367))",91106,yes,1066 E Del Mar,,"[2148537972, 2148537971, 2148537989, 2148537990, 2148537972]",,,,,,,,,,1066,South Hill Avenue,,,,,,,,,,"34.140770375139915,-118.12833064010216",1066 E Del Mar,,,1066 E Del Mar,,,,,,
123,,"POLYGON ((-118.128479 34.1405689, -118.1284779 34.1404547, -118.1285483 34.1404542, -118.1285494 34.1405684, -118.128479 34.1405689))",,yes,1052 E Del Mar,,"[2148537931, 2148537904, 2148537903, 2148537930, 2148537931]",,,,,,,,,,,,,,,,,,,,,"34.14051155,-118.12851365",1052 E Del Mar,,,1052 E Del Mar,,,,,,
124,,"POLYGON ((-118.1281609 34.1408068, -118.1281601 34.1407337, -118.1282471 34.1407331, -118.1282478 34.1408062, -118.1281609 34.1408068))",,yes,295 S Wilson,,"[2148537993, 2148537968, 2148537967, 2148537992, 2148537993]",,,,,,,,,,,,,,,,,,,,,"34.14076994299503,-118.12820397485974",295 S Wilson,,,295 S Wilson,,,,,,
125,,"POLYGON ((-118.1281594 34.1406373, -118.1282477 34.1406367, -118.1282484 34.1407057, -118.1281601 34.1407064, -118.1281594 34.1406373))",,yes,291 S Wilson,,"[2148537944, 2148537943, 2148537961, 2148537962, 2148537944]",,,,,,,,,,291,South Wilson Avenue,,,,,,,,,,"34.14067152514449,-118.12820388934493",291 S Wilson,,,291 S Wilson,,,,,,
126,,"POLYGON ((-118.1285563 34.1403557, -118.1286813 34.1403549, -118.1286823 34.1404202, -118.1285573 34.1404211, -118.1285563 34.1403557))",,yes,317 S Wilson Back DCAA,,"[2148537892, 2148537891, 2148537896, 2148537897, 2148537892]",,,,,,,,,,,,,,,,,,,,,"34.14038797517504,-118.12861928406285",317 S Wilson Back DCAA,,,NAN,122A,WILSON 317 (BACK-DCAA),,No,,Not in Single Line
127,,"POLYGON ((-118.1283035 34.1406223, -118.1283934 34.1406217, -118.128394 34.1406777, -118.128304 34.1406783, -118.1283035 34.1406223))",,yes,1060 E Del Mar,,"[2148537938, 2148537937, 2148537955, 2148537956, 2148537938]",,,,,,,,,,,,,,,,,,,,,"34.14065000518712,-118.12834872514023",1060 E Del Mar,,,1060 E Del Mar,,,,,,
128,,"POLYGON ((-118.128239 34.1403202, -118.12842 34.140319, -118.128421 34.1404211, -118.128267 34.1404222, -118.128267 34.1403786, -118.128239 34.1403788, -118.128239 34.1403202))",,yes,315 S Wilson Front Student-Faculty Programs,,"[2148537888, 2148537887, 2148537895, 2148537898, 2148537893, 2148537894, 2148537888]",,,,,,,,,,317,South Wilson Avenue,,,,,,,,,,"34.14036862312242,-118.12833514519492",315 S Wilson Front Student-Faculty Programs,,,317 South Wilson Avenue,122,WILSON 315 (FRONT STUDENT-FACULTY PROGRAMS),,Yes,,Not in Single Line
129,,"POLYGON ((-118.1281515 34.1404529, -118.1282405 34.1404523, -118.1282412 34.1405189, -118.1282963 34.1405185, -118.1282956 34.1404519, -118.1284019 34.1404512, -118.1284034 34.1406041, -118.1281531 34.1406058, -118.1281515 34.1404529))",,yes,307 S Wilson,,"[2148537902, 2148537901, 2148537917, 2148537916, 2148537900, 2148537899, 2148537935, 2148537936, 2148537902]",,,,,,,,,,307,South Wilson Avenue,,,,,,,,,,"34.14053306100839,-118.12827843925696",307 S Wilson,,,307 S Wilson,,,,,,
130,,"POLYGON ((-118.1282315 34.1395014, -118.1282302 34.1394124, -118.1282974 34.1394117, -118.1282962 34.1393345, -118.1284588 34.1393329, -118.1284612 34.1394991, -118.1282315 34.1395014))",,house,Prufrock House,,"[3331254305, 3331254306, 3331254307, 3331254308, 3331254309, 3331254310, 3331254305]",,,,,,,,,,,,,,,,,,,,,"34.13942400598053,-118.12835801510943",Prufrock House,,,Watchtower,121,WILSON 373-PRUFROCK,,Yes,,Not in Single Line
131,,"POLYGON ((-118.1266418 34.1399525, -118.1264587 34.1399534, -118.1264588 34.1399635, -118.1264085 34.1399637, -118.1264065 34.139684, -118.1265011 34.1396835, -118.1265015 34.1397508, -118.1266404 34.1397501, -118.1266418 34.1399525))",,yes,Keck Center,,"[3704238372, 7876638982, 7876638981, 3704238373, 3704238374, 3704238375, 3704238376, 3704238377, 3704238372]",,,,,,,,,,,,,,,,,,,,,"34.13983706087122,-118.12651527803366",Keck Center,,,Keck Center,127,KECK CENTER,,Yes,,Not in Single Line
132,,"POLYGON ((-118.1253409 34.1343328, -118.1252269 34.1343339, -118.1252255 34.1344882, -118.1251477 34.134486, -118.1251491 34.1340853, -118.1252684 34.134082, -118.1252698 34.1341019, -118.1253435 34.1341053, -118.1253409 34.1343328))",,yes,Caltech Childcare Center,,"[3704238404, 3704238405, 3704238406, 3704238407, 3704238408, 3704238409, 3704238411, 3704238410, 3704238404]",,,,,,,,,,,,,,,,,,,,,"34.134252392459885,-118.12523207014733",Caltech Childcare Center,Child Care Center,childCareCenter,Caltech Children's Center,133,CCC-CHILDCARE CENTER,Substation 4,,,
133,,"POLYGON ((-118.1251182 34.1343461, -118.1248205 34.1344749, -118.1247575 34.1343739, -118.1250498 34.1342529, -118.1251182 34.1343461))",,yes,Caltech Childcare Center,,"[3704238412, 3704238413, 3704238414, 3704238415, 3704238412]",,,,,,,,,,,,,,,,,,,,,"34.13436263707504,-118.1249355689581",Caltech Childcare Center,Child Care Center,childCareCenter,NAN,133,CCC-CHILDCARE CENTER,Substation 4,,,
134,,"POLYGON ((-118.1251947 34.1347369, -118.1248688 34.1348224, -118.1248192 34.1347258, -118.1248567 34.1347102, -118.1248862 34.1347169, -118.1251504 34.1346392, -118.1251947 34.1347369))",,yes,Caltech Childcare Center,,"[3704238416, 3704238417, 3704238418, 3704238419, 3704238420, 3704238421, 3704238416]",,,,,,,,,,,,,,,,,,,,,"34.13473234406001,-118.12500886943931",Caltech Childcare Center,Child Care Center,childCareCenter,NAN,133,CCC-CHILDCARE CENTER,Substation 4,,,
135,,"POLYGON ((-118.1221276 34.1393291, -118.1219559 34.1393302, -118.1219505 34.1391337, -118.1221262 34.1391304, -118.1221276 34.1393291))",,yes,Undergraduate Admissions & Financial Aid,,"[3704238432, 3704238433, 3704238434, 3704238435, 3704238432]",,,,,,,,,,,,,,,,,,,,,"34.13923046530327,-118.12204020082844",Undergraduate Admissions & Financial Aid,,,NAN,90,HILL 383-UNDERGRADUATE ADMISSIONS & FINANCIAL AID,,Yes,,Not in Single Line
136,,"POLYGON ((-118.1222034 34.1398679, -118.1224318 34.139867, -118.1224338 34.1402301, -118.1222054 34.140231, -118.1222034 34.1398679))",,yes,Satellite Plant,,"[566601758, 4003035631, 4003035640, 4003035641, 566601758]",,Bing,,,,,,,,,,,,,,,,,,,"34.140049,-118.1223186",Satellite Plant,Satellite Plant,satellitePlant,NAN,066B,SATELLITE UTILITY PLANT,Satellite Plant,No,,
137,,"POLYGON ((-118.1225475 34.1400806, -118.122477 34.1400809, -118.1224767 34.1400198, -118.1225471 34.1400195, -118.1225475 34.1400806))",,yes,Satellite Plant,,"[4003035634, 4003035635, 4003035633, 4003035632, 4003035634]",,Bing,,,,,,,,,,,,,,,,,,,"34.140050207227,-118.12251207508233",Satellite Plant,Satellite Plant,satellitePlant,NAN,066B,SATELLITE UTILITY PLANT,Satellite Plant,No,,
138,,"POLYGON ((-118.1250581 34.1350221, -118.1249869 34.1350452, -118.1249815 34.1350338, -118.1248986 34.1350606, -118.1248237 34.1349019, -118.1249661 34.1348559, -118.1249746 34.1348739, -118.125037 34.1348537, -118.1250636 34.1349101, -118.124987 34.1349348, -118.1250163 34.1349971, -118.1250424 34.1349887, -118.1250581 34.1350221))",,yes,Arden House,,"[4687967724, 4687967725, 4687967726, 4687967727, 4687967728, 4687967729, 4687967730, 4687967731, 4687967732, 4687967733, 4687967734, 4687967735, 4687967724]",,,,,,,,,,,,,,,,,,,,,"34.134951774080406,-118.1249451501359",Arden House,Arden House,ardenHouse,NAN,,,Substation 4,,,Combines multiple buildings
139,,"POLYGON ((-118.1289562 34.1383001, -118.1288349 34.1382998, -118.1288352 34.1382187, -118.1289565 34.138219, -118.1289562 34.1383001))",,yes,1031 E San Pasqual Bungalow Court,,"[6948622676, 6948622677, 6948622678, 6948622679, 6948622676]",,,,,,,,,,,,,,,,,,,,,"34.1382594,-118.1288957",1031 E San Pasqual Bungalow Court,,,NAN,139,1031 E SAN PASQUAL (BUNGALOW COURT),,Covered by Parking Lot 14,,Not in Single Line
140,,"POLYGON ((-118.1288346 34.1382083, -118.1287508 34.1382083, -118.1287508 34.1380846, -118.1288346 34.1380846, -118.1288346 34.1382083))",,yes,1031 E San Pasqual Bungalow Court,,"[6948622680, 6948622681, 6948622682, 6948622683, 6948622680]",,,,,,,,,,,,,,,,,,,,,"34.13814645,-118.12879269999999",1031 E San Pasqual Bungalow Court,,,NAN,139,1031 E SAN PASQUAL (BUNGALOW COURT),,Covered by Parking Lot 14,,Not in Single Line
